Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow,RainfallTomorrow
2010-06-18,Sydney,9.8,18.0,0.6,3.0,9.6,,,W,W,15.0,9.0,58.0,39.0,1017.1,1015.5,,,12.1,17.8,No,,
2010-10-09,Sydney,15.8,18.9,0.0,5.2,0.0,ESE,31.0,ESE,ENE,20.0,11.0,59.0,55.0,1026.4,1025.3,,,17.0,18.3,No,,
2010-11-12,Sydney,19.1,26.8,0.0,9.0,12.6,NE,48.0,WNW,NE,6.0,24.0,67.0,57.0,1013.8,1011.9,1.0,3.0,24.3,25.6,No,,
2014-09-16,Sydney,15.2,21.7,0.0,4.8,5.1,,,NE,ENE,28.0,4.0,76.0,66.0,1009.9,1005.5,6.0,3.0,18.6,20.6,No,,
2014-10-31,Sydney,16.3,30.2,0.0,9.2,11.7,NNE,41.0,WNW,ENE,13.0,13.0,55.0,43.0,1013.4,1008.2,1.0,6.0,22.4,26.3,No,,
2014-11-27,Sydney,18.9,20.9,0.4,7.6,0.0,ESE,43.0,SSE,SE,26.0,20.0,71.0,61.0,1022.0,1022.4,6.0,7.0,19.8,20.3,No,,
2014-11-28,Sydney,,23.3,,3.4,11.9,ENE,37.0,E,E,13.0,19.0,,46.0,,1021.3,3.0,2.0,,22.3,,,
2015-11-11,SydneyAirport,19.1,24.4,0.0,8.6,0.0,S,46.0,SSW,E,20.0,9.0,83.0,60.0,1020.3,1020.3,7.0,7.0,20.0,22.9,No,,
2017-03-14,SydneyAirport,22.8,27.1,0.4,7.6,0.5,ENE,46.0,E,ENE,20.0,20.0,75.0,87.0,1019.4,1020.1,7.0,8.0,24.1,22.8,No,,
2017-03-18,SydneyAirport,18.9,25.2,25.6,2.8,3.6,S,76.0,SE,SE,35.0,28.0,90.0,87.0,1023.2,1022.5,8.0,7.0,22.4,23.1,Yes,,
2017-03-22,SydneyAirport,21.9,31.9,29.8,6.0,4.4,SW,57.0,NW,SE,7.0,20.0,84.0,61.0,1012.4,1010.6,7.0,6.0,25.4,30.9,Yes,,
2010-12-31,Canberra,12.4,33.9,0.0,8.0,11.6,NW,33.0,N,NW,2.0,13.0,81.0,25.0,1016.1,1013.5,1.0,1.0,20.1,32.8,No,,
2011-03-07,Canberra,5.5,25.0,0.0,4.0,10.3,N,28.0,NNE,NW,4.0,11.0,79.0,36.0,1025.4,1020.1,1.0,1.0,12.4,23.9,No,,
2011-06-03,Canberra,2.5,16.5,0.0,2.2,6.6,WNW,41.0,,WNW,0.0,24.0,99.0,40.0,1021.4,1016.9,8.0,3.0,5.8,15.8,No,,
2011-06-04,Canberra,4.4,13.2,,2.2,0.6,,,NNW,WNW,26.0,22.0,77.0,58.0,,,8.0,,10.6,11.9,,,
2011-07-13,Canberra,3.0,11.0,0.0,2.4,2.1,WNW,46.0,NW,NW,9.0,31.0,65.0,75.0,1020.3,1018.8,6.0,7.0,6.8,7.2,No,,
2011-09-05,Canberra,7.5,20.0,1.2,2.8,5.2,,,,NW,0.0,30.0,83.0,40.0,1027.6,1024.0,6.0,3.0,12.7,18.0,Yes,,
2011-09-07,Canberra,-0.5,14.3,7.0,1.8,9.4,NW,28.0,NW,WNW,9.0,11.0,81.0,38.0,1021.0,1018.6,6.0,1.0,6.6,14.0,Yes,,
2011-09-15,Canberra,1.6,17.7,0.0,5.4,11.0,,,NW,WNW,7.0,30.0,59.0,29.0,1022.2,1018.5,1.0,,11.8,17.0,No,,
2011-12-20,Canberra,12.6,24.9,1.6,,,N,28.0,E,N,7.0,15.0,74.0,50.0,1012.5,1012.0,6.0,8.0,18.8,22.7,Yes,,
2012-06-07,Canberra,-3.5,12.1,0.0,1.6,8.0,SE,17.0,,NW,0.0,7.0,,49.0,1025.3,1022.5,0.0,,1.3,11.8,No,,
2014-02-20,Canberra,10.1,21.5,33.2,,,,,NW,WNW,24.0,30.0,62.0,34.0,1006.3,1008.9,,,13.5,20.0,Yes,,
2014-05-10,Canberra,4.0,14.4,0.0,,,,,,NW,0.0,13.0,89.0,78.0,1023.9,1020.8,8.0,8.0,8.5,13.0,No,,
2015-03-01,Canberra,12.6,31.2,0.0,,,,,SSW,WNW,6.0,26.0,61.0,42.0,1006.7,1006.9,1.0,,21.9,26.9,No,,
2015-03-02,Canberra,,26.4,,,,,,,NW,,9.0,,34.0,,1015.0,,,,24.9,,,
2015-08-11,Canberra,3.1,13.6,0.0,,,NW,44.0,NNW,NW,20.0,24.0,74.0,42.0,1014.7,1012.0,,,8.8,12.4,No,,
2015-10-25,Canberra,4.7,26.5,0.0,,,,,SE,NNW,2.0,26.0,65.0,35.0,1021.9,1017.4,,,15.7,25.7,No,,
2017-03-08,Canberra,8.9,21.5,0.0,,,,,SSE,E,15.0,20.0,66.0,55.0,1019.7,1018.1,,,15.0,19.7,No,,
2017-03-31,Canberra,7.2,20.2,7.6,,,,,S,S,19.0,9.0,63.0,40.0,1018.0,1015.3,,1.0,10.6,18.7,Yes,,
2011-02-04,Melbourne,18.2,30.4,2.4,4.0,1.6,N,54.0,N,N,31.0,24.0,85.0,83.0,1010.1,1007.3,7.0,7.0,24.0,26.2,Yes,,
2011-02-05,Melbourne,18.1,20.3,,7.6,0.0,WSW,54.0,SW,SSW,11.0,11.0,96.0,77.0,1006.1,1006.9,,,18.4,19.0,,,
2011-02-11,Melbourne,20.9,25.8,1.8,6.0,0.2,N,46.0,NNW,SSW,15.0,20.0,83.0,87.0,1010.2,1010.0,7.0,8.0,23.2,21.0,Yes,,
